"ID","Eixo","Entrega (descrição)","Responsável","Esforço estimado (h)","Esforço estimado (dias)","Data início prevista","Data término prevista","Status","Prioridade","Dependência","Critério de aceite","Riscos","Feedback de execução","Atualizado em","Evidência"
"PLN-01","Planejamento","Consolidar requisitos, decisões do MVP e criar repositório Git","Sergio","4","1.6","2026-09-22","2026-09-23","Concluído","P0","Nenhuma","Documento base e repositório inicial aprovados","Mudança de requisito ou atraso na criação do repositório","Concluído: repositório, decisões e contratos versionados.","2026-09-22","2ca9899"
"SRC-01","Fonte","Executar PoC Folhapress e definir filtro/contrato de campos","Sergio","4","1.6","2026-09-23","2026-09-25","Concluído","P0","Acesso Folhapress","Login, TEXTOS, paginação e um TXT validados","MFA/CAPTCHA, indisponibilidade ou mudança de layout","Concluído: login, TEXTOS, filtros, paginação de 24 itens e download TXT validados manualmente; sem CAPTCHA/MFA.","2026-09-23","PoC manual validada"
"INF-01","Infraestrutura","Preparar VPS de homologação e Docker Compose local","Sergio","4","1.6","2026-09-25","2026-09-26","Planejado","P0","Acesso VPS","Docker, rede, disco persistente e health checks básicos validados","VPS indisponível, portas bloqueadas ou capacidade insuficiente","","",""
"DAT-01","Dados","Modelar Bronze/Silver/Gold, criar migrations e índices","Sergio","3","1.2","2026-09-26","2026-09-28","Planejado","P0","SRC-01,INF-01","Schemas físicos, índices e massa mínima de teste disponíveis","Mudança de taxonomia ou falha de modelagem","","",""
"OBJ-01","Armazenamento de objetos","Provisionar MinIO, buckets e persistência para TXT","Sergio","3","1.2","2026-09-29","2026-09-30","Planejado","P0","INF-01","MinIO em container, volume persistente, buckets bronze-raw/silver-processed/gold-approved, health check e upload/download validados","Falha de volume, política de bucket ou indisponibilidade do MinIO","","",""
"API-01","Backend","Criar FastAPI, health checks, domínio e repositórios PostgreSQL","Sergio","4","1.6","2026-09-30","2026-10-01","Planejado","P0","DAT-01","API sobe em container, documenta OpenAPI e persiste dados","Dependências ou modelo de dados precisarem de ajuste","","",""
"SRC-02","Fonte","Implementar adaptador Folhapress, paginação, extração e download de TXT","Sergio","6","2.4","2026-10-02","2026-10-05","Planejado","P0","SRC-01,API-01","Adaptador retorna notícias e TXT com campos mínimos e seletores configuráveis","Página variar, timeout, bloqueio ou volume diferente do esperado","","",""
"API-02","Backend","Implementar deduplicação e ingestão Bronze idempotente","Sergio","6","2.4","2026-10-05","2026-10-07","Planejado","P0","SRC-02,DAT-01,OBJ-01","Fonte + source_id impedem duplicidade; TXT, object_key e hash são conferíveis no MinIO","Falha parcial Postgres/MinIO, arquivo órfão ou concorrência","","",""
"API-03","Backend","Implementar Silver, auditoria, Gold e versionamento","Sergio","6","2.4","2026-10-07","2026-10-10","Planejado","P0","API-02","Bronze gera Silver, aprovação cria Gold e auditoria preserva o histórico","Regra editorial mudar ou Bronze ser alterado indevidamente","","",""
"API-04","Backend","Expor contrato de API para o front futuro","Sergio","2","0.8","2026-10-10","2026-10-10","Planejado","P1","API-03","OpenAPI cobre leitura da Silver e promoção para Gold","Contrato mudar quando o front for iniciado","","",""
"AUT-01","Automação","Criar fluxo n8n horário, retentativas e reprocessamento","Sergio","6","2.4","2026-10-13","2026-10-15","Planejado","P0","SRC-02,API-03","n8n executa cron 0 * * * *, captura e recupera falhas sem duplicidade","Falha silenciosa, loop de retry ou credencial inválida","","",""
"OBS-01","Observabilidade","Configurar logs, métricas mínimas e alertas de saúde","Sergio","2","0.8","2026-10-15","2026-10-16","Planejado","P1","AUT-01","Health checks e alerta de serviço ou volume anormal disponíveis","Canal de alerta não definido","","",""
"TST-01","Qualidade","Criar testes unitários e de integração do ciclo crítico","Sergio","4","1.6","2026-10-16","2026-10-17","Planejado","P0","API-03,AUT-01","Deduplicação, Bronze/Silver/Gold e falhas de armazenamento cobertos","Dados de teste não reproduzirem a fonte real","","",""
